,idx,nid
282,92061,"[4165978, 4490532, 4223456, 4213425, 4190606, 4190351, 4180344, 4217793, 4203106, 4196288]"
283,133457,"[4278346, 4221589, 4057266, 4279516, 4061585, 4276272, 4274859, 4271749, 4271004, 4195691]"
284,143623,"[4379793, 4393148, 4391521, 4398665, 4392825, 4415952, 4397762, 4725138, 4669590]"
285,143090,"[4247732, 4338633, 4450548, 4327922, 4383869]"
286,143443,"[4277088, 4288393, 4285343, 4277938, 4255369, 4744720, 4746709, 4772936]"
287,151673,"[4390497, 4420615, 4464473, 4384736, 4491755, 4479890, 4427984, 4437898, 4447471, 4717850]"
288,148608,"[4265931, 4267871, 4266711, 4285502, 4272274]"
289,119453,"[4310805, 4274233, 4271030, 4268981, 4307301, 4268807, 4306431, 4774954]"
290,145418,"[4194786, 4191529, 4469192, 4540080, 4553903, 4755722]"
291,125459,"[4384588, 4383685, 4383336, 4382902, 4471552, 4400132, 4399196, 4396511, 4395144, 4394971]"
292,152169,"[4359135, 4352755, 4352576]"
293,128774,"[4277243, 4288340, 4304310, 4291959, 4295227, 4435016, 4282153, 4287906, 4475086, 4280298]"
294,145292,"[4436363, 4433338, 4431811, 4430110, 4430108, 4429449, 4428281, 4427928, 4427600, 4427382]"
295,151154,"[4420723, 4431559, 4429123, 4420134, 4447065, 4746657, 4712903, 4659371, 4688287, 4669207]"
296,145151,"[4730797, 4712656, 4717869, 4760222]"
297,51787,"[4218882, 4210567, 4210130, 4208108, 4198271, 4181926, 4587582, 4459951, 4390213, 4222360]"
298,40232,"[3507014, 3057866, 4363076, 4349377, 4353991, 4710940, 4765418]"
299,89375,"[2504408, 4320887, 4266382]"
300,128327,"[3866706, 4390018, 4675823]"
301,143376,"[4436669, 4458319, 4315343, 4437235, 4418690, 4417079, 4436693, 4497399, 4428152, 4719662]"
302,141177,"[4401162, 4429917, 4392537, 4502409, 4476681, 4355783, 4502416, 4637980]"
303,146240,"[4351234, 4339213, 4351769, 4346294, 4366235, 4353724, 4349403, 4437067, 4400479, 4560726]"
304,134570,"[4342447, 4368235, 4400480]"
305,138615,"[4136017, 4363078, 4479641]"
306,142333,"[4309957, 4695430, 4716736]"
307,94767,"[4336314, 4339575, 4338568, 4335288, 4340069, 4339701, 4339318, 4338313, 4336675, 4336646]"
308,75426,"[4243225, 4234851, 4245685, 4627132, 4424367, 4294008, 4283456, 4275138, 4274465, 4246860]"
